text,created_date,,,,,,,,,,,,,,,,
"Here's a look at the probability of greater than 1/10"" falling at @ flySFO over a 24 hour period. Chances greatly increase starting on Wednesday! # cawx # bayarea # sfopic.twitter.com/TW1p3ioKMd","2017-12-30T21:12:11.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/34UqyzGtwWa,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA w/ @ jtzee https://www.swarmapp.com/c/bZ19dRWxVfS,,,,,,,,,,,,,,,,
I'm at SFO Parking - Lot D - @ flysfo in San Francisco, CA w/ @ jtzee https://www.swarmapp.com/c/i93Q2yPUIQP,,,,,,,,,,,,,,,,
Thanks Suzi!!!!!,"2017-12-30T20:12:37.000Z""""",,,,,,,,,,,,,,,,
Safe travels Jennifer,"2017-12-30T19:58:18.000Z""""",,,,,,,,,,,,,,,,
Is it too late to tell you guys your price is right tweet is just awesome? # AirportTwitter # PriceisRight pic.twitter.com/vgP83xKVt9,"2017-12-30T19:42:01.000Z""""",,,,,,,,,,,,,,,,
I’m at @ flySFO headed to @ flyLAXairport! See you in the air! ;),"2017-12-30T19:31:37.000Z""""",,,,,,,,,,,,,,,,
Shout out to the @ united agent at @ flySFO who made a very stressful day that much better with her amazing service # travel # stress # actofkindness # UnitedAirlines # sfo,"2017-12-30T19:30:36.000Z""""",,,,,,,,,,,,,,,,
When you order Meet & Greet service you can always count on us to have your chauffeur waiting when you arrive @ flySFO. # AdamoLimopic.twitter.com/gAk1YVT6QN,"2017-12-30T19:25:36.000Z""""",,,,,,,,,,,,,,,,
@ FedEx 641 heavy rolls on @ flySFO 1R back to @ flymemphis with the makings of a beautiful sunrise. # avgeek # aviation # FedEx # Airplane # DC10 # Takeoffpic.twitter.com/QPaQZoesxN,"2017-12-30T19:25:22.000Z""""",,,,,,,,,,,,,,,,
"@ flySFO It'd be super-useful to be able to split the arrivals & departures flight lists on your site by national/international flights! At least add a ""Country"" column?","2017-12-30T19:18:50.000Z""""",,,,,,,,,,,,,,,,
If every security checkpoint was like this one, PreCheck would be an absolute no brainer! (@San Francisco International Airport - @ flysfo in San Francisco,,,,,,,,,,,,,,,,
@ flySFO in security line. boarding @ AmericanAir starts 6:18. this is not good.,"2017-12-30T17:19:06.000Z""""",,,,,,,,,,,,,,,,
# SNA bound ....back to my hood ;) Friends & and family time (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/jbmKcXdc9qF,,,,,,,,,,,,,,,,
@ Delta one person working special services at @ flySFO 40 mins in line and we’ve barely moved. Judy Smith at customer support told me she’s works reservations and can’t help me or route me to right person. # nocustomerservicepic.twitter.com/TB7pWEmpQE,"2017-12-30T16:32:37.000Z""""",,,,,,,,,,,,,,,,
WE’RE FINALLY BACK (@San Francisco International Airport - @ flysfo in San Francisco, CA w/ @ reidmain) https://www.swarmapp.com/c/1Xddvfi6cf9,,,,,,,,,,,,,,,,
I’ll investigate when I visit!,"2017-12-30T11:50:07.000Z""""",,,,,,,,,,,,,,,,
At @ flysfo [pic] — https://path.com/p/xNehM,"2017-12-30T11:13:52.000Z""""",,,,,,,,,,,,,,,,
SFO-PHL-YUL (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/g6fkBcBzT9U,,,,,,,,,,,,,,,,
Play del Carmen, here we come (@San Francisco International Airport - @ flysfo in San Francisco,,,,,,,,,,,,,,,,
"We are placing CAT TQs in our AED cabinets and already offer ""AHA+"" first aid stop the bleed training at our ""Run/Hide/Fight/Help"" trainings at @ flySFO 20 down", 71 to go!,,,,,,,,,,,,,,,,
Back home. (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/83Pq1QuhyUA,,,,,,,,,,,,,,,,
Back in the SF Bay @ flySFO @ SouthwestAir,"2017-12-30T07:55:41.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/1HtbKB8btor,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/jW7fUqvWBV7,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/aEwoDELH23j,,,,,,,,,,,,,,,,
Startup in Residence (STIR) connects startups with local governments to develop technology products that solve real civic challenges. Apply for their 16 week program by January 1 at https://startupinresidence.org/apply/ pic.twitter.com/yp3yWxIVVh,"2017-12-30T02:50:09.000Z""""",,,,,,,,,,,,,,,,
Time for Chicago New Years trip! X333 (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/cAAwsHMBJtv,,,,,,,,,,,,,,,,
The TSA changed its mind on this, postponing the deadline to 2020. Y'all can stop with these messages.,,,,,,,,,,,,,,,,
REAL ID- New ID requirements effective January 22, 2018. Visit http://flysfo.com/real-id for more info and to find out if your state is compliant or was granted an extension. # sfopic.twitter.com/BVxaoBQ0hg,,,,,,,,,,,,,,,,
Off for an end of year adventure (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/lPGIM8VpByu,,,,,,,,,,,,,,,,
I'm at International Terminal - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/fD7HjBK55iN,,,,,,,,,,,,,,,,
I'm at Terminal 2 - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/5pBwqNFEQTe,,,,,,,,,,,,,,,,
About to board!pic.twitter.com/vvCQvC29rf,"2017-12-30T00:24:15.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/cWJM0jGdps4,,,,,,,,,,,,,,,,
Vegas bound! (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/e0X8hi8UX21,,,,,,,,,,,,,,,,
# FBF to 1971 and the first @ united McDonnell Douglas DC-10 ( @ flySFO) pic.twitter.com/L3eYRu8SpH,"2017-12-29T23:37:02.000Z""""",,,,,,,,,,,,,,,,
Yes, we had live music last week and we also have live music during the summer. Visit http://www.flysfo.com for all activities and amenities at # sfo.,,,,,,,,,,,,,,,,
Hey @ flySFO, check out how cool @ SeaTacAirport # cityofmusic (live local musicians in terminal) is! Can we do this to support the great # sanfrancisco # localmusic # livemusic scene?pic.twitter.com/n2Clu92N79 – bei Seattle-Tacoma International Airport (SEA),,,,,,,,,,,,,,,,
Going to SFO this holiday season? Try @ flySFO’s Express Drop-Off and Pick-Up areas. Stop circling and follow the arrows for 30 minutes of free parking. http://flysfo.com/express pic.twitter.com/Tac59j7ML3,"2017-12-29T22:55:00.000Z""""",,,,,,,,,,,,,,,,
We have had them for quite some time. Great idea we are happy to see spreading! # sfo,"2017-12-29T22:05:37.000Z""""",,,,,,,,,,,,,,,,
Look at that! Los Angeles has Bicycle Ambulances! I had no idea. What about you, @ flySFO? https://twitter.com/flyLAXairport/status/946800223850024960 …,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/fBqykZMNeQ4,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/gArEeTyyx7D,,,,,,,,,,,,,,,,
i can see my house!,"2017-12-29T21:40:53.000Z""""",,,,,,,,,,,,,,,,
What is your New Year's Resolution?pic.twitter.com/UOEvMJSwoz,"2017-12-29T21:19:20.000Z""""",,,,,,,,,,,,,,,,
https://www.airplane-pictures.net/photo/1006029/airport-overview-airport-overview-terminal-building/ … Here you can see @ flySFO from above as we passed it at 1800ft the other day!,"2017-12-29T21:16:30.000Z""""",,,,,,,,,,,,,,,,
Third: Welcoming the @ Airbus A321neo on its first ever revenue flight from @ flySFO to @ Reagan_Airportpic.twitter.com/bzYI2Fg3Kl,"2017-12-29T21:00:43.000Z""""",,,,,,,,,,,,,,,,
Gotta get @ Clear # lifesaver,"2017-12-29T20:29:36.000Z""""",,,,,,,,,,,,,,,,
Serenaded upon landing. @ southwest knows how to keep it interesting even in the am. (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/90VAFK2kJMx,,,,,,,,,,,,,,,,
Damn, the secret’s out,,,,,,,,,,,,,,,,
They opened another pre line though, so will give them props for that!,,,,,,,,,,,,,,,,
uh WUT,"2017-12-29T20:11:38.000Z""""",,,,,,,,,,,,,,,,
Classic @ united @ flySFO stuck on the ground with no gate. It would be funny if it happens once. # ridiculous # poorlymanaged # noclue,"2017-12-29T20:02:18.000Z""""",,,,,,,,,,,,,,,,
. @ flySFO The customs and security process this morning took 2 hours. Y’all need to apologize to me and, like 300 other travelers. Every other person my family interacted with was a jerk,,,,,,,,,,,,,,,,
WARNING: Tsa Pre line @ flySFO pic.twitter.com/9X0lltMIe4,"2017-12-29T19:22:06.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/kyajfIUjzMh,,,,,,,,,,,,,,,,
The party started? # airporttwitterpic.twitter.com/NF2XWVHwPf,"2017-12-29T19:11:25.000Z""""",,,,,,,,,,,,,,,,
Even this cutie at @ flySFO enjoys at airplane view! PHOTO: @juniperthesfpup # AirportTherapyDogspic.twitter.com/c1pPfVYxW8,"2017-12-29T17:30:29.000Z""""",,,,,,,,,,,,,,,,
Even with @ TSA # precheck and @ Clear @ flySFO is a mess today. Over 15 min through security. # FirstWorldProblemspic.twitter.com/keBviGzXBL,"2017-12-29T17:20:20.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/9MsFJadboAJ,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/gOOleGW0sAi,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/gcGNjsaueJA,,,,,,,,,,,,,,,,
Honestly at this point I’m tempted to just sleep until 2018 (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/0Itv7yQEl1I,,,,,,,,,,,,,,,,
Y'all should come to @ Cardiff_Airport - rest of the UK might have snow and cold weather but nothing in sunny South Wales,"2017-12-29T12:23:25.000Z""""",,,,,,,,,,,,,,,,
The view as we departed @ flySFO a few hours ago on # LH455! Tweeting this from 39‘000ft thanks to @ lufthansa‘s FlyNet!pic.twitter.com/SbYqGFjbk2,"2017-12-29T11:04:20.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/hJZdKkkfTqP,,,,,,,,,,,,,,,,
curious @ flySFO any plans to make app-ride customers go to a special lot for pick ups? Like # Logan and surely others? This can’t go on. Everyone is a Something-driver,"2017-12-29T10:05:20.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/3d5iU7ogYNs,,,,,,,,,,,,,,,,
I was there. Was during CES,"2017-12-29T09:00:03.000Z""""",,,,,,,,,,,,,,,,
If @ flySFO doesn’t do something, they will just lose passengers to Oakland or @ FlySJC,,,,,,,,,,,,,,,,
@ VirginAmerica If we prepay for our bags, should we be able to print our baggage tags? At @ flySFO and we’re all trying to figure out the process.,,,,,,,,,,,,,,,,
Annoying that for most international travel from @ flySFO you have to go through security again to access @ AmericanExpress # CenturionLounge. # champagneproblemspic.twitter.com/wiJs1EiOW3,"2017-12-29T06:15:32.000Z""""",,,,,,,,,,,,,,,,
Wheels up @ united @ TorontoPearson - @ flySFO # unitedpic.twitter.com/kPcTaVGL0z,"2017-12-29T05:27:47.000Z""""",,,,,,,,,,,,,,,,
Back to the de-icing discussion that started it all ... we remember a # Vegas snow day. Once. Ten-plus years ago. Currently 60 degrees. # VegasWinterpic.twitter.com/CRh6o8Aprm,"2017-12-29T05:11:45.000Z""""",,,,,,,,,,,,,,,,
I dig the city of @ Oakland . However, the # OaklandAirport needs some love. No wonder I fly out of @ flySFO lol.,,,,,,,,,,,,,,,,
These airport tweets are glorious....,"2017-12-29T04:36:28.000Z""""",,,,,,,,,,,,,,,,
Boarding a plane (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/fqb1TQQlMRp,,,,,,,,,,,,,,,,
Yay! Now to go ultra long haul... @ NTLairport @ AdelaideAirport @ Melair @ AKL_Airport @ SydneyAirport # AirportTwitter pic.twitter.com/plEweG3Ebb,"2017-12-29T04:31:52.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/dwX5wR7ktIV,,,,,,,,,,,,,,,,
# AirportTwitter is everywhere!pic.twitter.com/AX0l4Z0qSl,"2017-12-29T04:14:50.000Z""""",,,,,,,,,,,,,,,,
Awwww yesss -Kpic.twitter.com/IgLiV03vp4,"2017-12-29T04:08:49.000Z""""",,,,,,,,,,,,,,,,
Welcome, Changi! This magnificent # AirportTwitter thread now has airports from six continents!pic.twitter.com/BO0mOKV9VT,,,,,,,,,,,,,,,,
Welcome, @ ChangiAirport!pic.twitter.com/yORNeUllas,,,,,,,,,,,,,,,,
Oh hello! -Kpic.twitter.com/080ExLeEha,"2017-12-29T04:04:51.000Z""""",,,,,,,,,,,,,,,,
Avoid roadway congestion and conveniently pick up your family or friend in the Short-term Parking Garage for free for stays of 30 minutes or less. To learn more visit http://flysfo.com/express . # sfopic.twitter.com/JG41mdSsMN,"2017-12-29T04:02:04.000Z""""",,,,,,,,,,,,,,,,
relative note @ flySFO has better wifi than my place does,"2017-12-29T03:38:34.000Z""""",,,,,,,,,,,,,,,,
Thanks for the lovely invite to Iowa . Found this gif for some reason . One thing for sure is I need to give all of you a follow pic.twitter.com/t3E5h9Hm8f,"2017-12-29T03:28:16.000Z""""",,,,,,,,,,,,,,,,
Love the picture guys its very tempting pic.twitter.com/waNpYXKBTF,"2017-12-29T03:26:08.000Z""""",,,,,,,,,,,,,,,,
Awww.... thank you for the invite pic.twitter.com/nuDqsaD2cn,"2017-12-29T03:23:48.000Z""""",,,,,,,,,,,,,,,,
Ah yes.... I pass by Knoxville a few times a year.... will have to stop by sometime. Practically neighbors pic.twitter.com/GD9io9i2aj,"2017-12-29T03:22:29.000Z""""",,,,,,,,,,,,,,,,
My last trip with @ VirginAmerica :( Unrelated: TSA continues to be impressed with all that fits into the # NeverFull bag. (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/0DQzQ84P3d0,,,,,,,,,,,,,,,,
You are always welcome here in Iowapic.twitter.com/fwBl0wkv90,"2017-12-29T03:18:43.000Z""""",,,,,,,,,,,,,,,,
This thread got me thinking.... My local airport doesn’t have a Twitter account. Hmmm.pic.twitter.com/oGjRYb8PaV,"2017-12-29T03:13:14.000Z""""",,,,,,,,,,,,,,,,
We’re just right down the road, @ Crystalball1976pic.twitter.com/DzSkttpkqr,,,,,,,,,,,,,,,,
We're glad you've enjoyed it, and safe travels on your first flight! You're always welcome to @ VisitBurbankUSA -- our Airport is convenient and easy-to-use!,,,,,,,,,,,,,,,,
Hey guys Im not an airport or anything but..... I just want to say you guys made my day with this thread . I start my first flying adventure from @ triflight next week . Who knows? I might make it a life goal to visit every airport at least once pic.twitter.com/5v7M8OE8yV,"2017-12-29T03:04:47.000Z""""",,,,,,,,,,,,,,,,
We're here! We were just waiting for a grand entrance!pic.twitter.com/uHMNNCC1dA,"2017-12-29T02:21:10.000Z""""",,,,,,,,,,,,,,,,
@ flymemphis where are you? We’re holding down the TN fort by ourselves over here!,"2017-12-29T01:56:56.000Z""""",,,,,,,,,,,,,,,,
We spy BNA,"2017-12-29T01:34:37.000Z""""",,,,,,,,,,,,,,,,
Got ‘empic.twitter.com/DRWdU66jsm,"2017-12-29T01:07:24.000Z""""",,,,,,,,,,,,,,,,
You can never have enough! Did you know that 3:05 is the official cafecito time of Miami?pic.twitter.com/UZwVEPmRUp,"2017-12-29T01:04:31.000Z""""",,,,,,,,,,,,,,,,
Sidebar, MIA - how many cafecitos have you had today?,,,,,,,,,,,,,,,,
Dear @ flySFO, I’m just gonna leave this here... pic.twitter.com/IQhTJG5Vq5,,,,,,,,,,,,,,,,
Come on @ ATLairport don’t be bashful! Join in!,"2017-12-29T01:02:19.000Z""""",,,,,,,,,,,,,,,,
Mr. 305 aka Mr. Worldwide, always has our back. # Dale!pic.twitter.com/ye39Qzg0qv,,,,,,,,,,,,,,,,
@ ChangiAirport care to join them?,"2017-12-29T00:58:23.000Z""""",,,,,,,,,,,,,,,,
Shall we ask Mr. Worldwide if he approves of this # AirportTwitter movement? @ pitbullpic.twitter.com/Myn1nBEeId,"2017-12-29T00:53:34.000Z""""",,,,,,,,,,,,,,,,
Paging Asia.,"2017-12-29T00:51:45.000Z""""",,,,,,,,,,,,,,,,
Let's go to the movies...in the sky . # Throwback to highlights from the record-setting # TheCEOmovie film premiere on board @ airfrance https://youtu.be/ohco_0vMKLU # AirportTwitter # Avgeekpic.twitter.com/zDmdjc2Q6p,"2017-12-29T00:50:53.000Z""""",,,,,,,,,,,,,,,,
Welcome to the thread, LOS! If we're remembering all the airport participants correctly,,,,,,,,,,,,,,,,
Mention was made of the record-setting in-flight premiere of # TheCEOmovie by ace director @ kunleafolayan in June 2016 but this was apparently not picked up by # GWR https://twitter.com/losairport/status/738423362125475840 ….pic.twitter.com/L8qUWLfah6,"2017-12-29T00:32:17.000Z""""",,,,,,,,,,,,,,,,
We’d welcome that with open arms, uh,,,,,,,,,,,,,,,,
# FoundinMiami this special edition bottle of Johnnie Walker Blue Label. Only available at MIA!pic.twitter.com/gOXuGPY5ZB,"2017-12-29T00:18:09.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/3QAdai1HFKm,,,,,,,,,,,,,,,,
Woahpic.twitter.com/hp4f6Ynmoz,"2017-12-29T00:12:49.000Z""""",,,,,,,,,,,,,,,,
The one and only. Need we say more. You can buy a bottle at BNA and take it home with you too. Just sayin’. # AirportTwitterpic.twitter.com/nMbCsVsQVO,"2017-12-29T00:11:50.000Z""""",,,,,,,,,,,,,,,,
Love this thread. Maybe some of the airlines could get involved too?!,"2017-12-28T23:50:19.000Z""""",,,,,,,,,,,,,,,,
My home base is @ flySFO, which explains my answer.,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/9rw3QSNIF7O,,,,,,,,,,,,,,,,
Beer is good. Our Cask & Larder Restaurant has their own local brewery and lots of southern hospitality. pic.twitter.com/wjA7oV3YJY,"2017-12-28T23:24:12.000Z""""",,,,,,,,,,,,,,,,
# AirportTwitter is still going? Well being as Britain's still awake, @ LondonCityAir @ manairport @ bhx_official @ Gatwick_Airport guys join the airport club,,,,,,,,,,,,,,,,
it was announced today that all. state drivers licenses are ok until 2020,"2017-12-28T23:17:34.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA w/ @ henryzhouhao https://www.swarmapp.com/c/555SQJqQdEJ,,,,,,,,,,,,,,,,
Heading home! Let's go! (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/4ezoGKcVVNT,,,,,,,,,,,,,,,,
We'll raise a glass, too! @ LandGrantBeerpic.twitter.com/3d9G2X1urb,,,,,,,,,,,,,,,,
Don't forget about us! From @ EastEndBrewing to @ PennBrewery PIT loves its local craft beers!pic.twitter.com/0JLJClw0B8,"2017-12-28T23:01:33.000Z""""",,,,,,,,,,,,,,,,
fact ^^pic.twitter.com/DFN4pUswJx,"2017-12-28T22:59:20.000Z""""",,,,,,,,,,,,,,,,
Craft beer, you say? We speak that language! @ StoneBrewingpic.twitter.com/IjavWs3F2k,,,,,,,,,,,,,,,,
RT SouthboundBrews: RT fly_SAV: yvrairport PHXSkyHarbor foundersbrewing fly_CID iflymia flySFO FlyICT fly_BUR MCO FlyGRFord Fly_Nashville gatewayairport DFWAirport slcairport flypdx DallasLoveField PITairport SanDiegoAirport GWR fly_skyxe FlyYOW FlyYQR F… pic.twitter.com/QaSzDBli4r,"2017-12-28T22:31:57.000Z""""",,,,,,,,,,,,,,,,
All the way from Brazil! # AirportTwitter really going global.,"2017-12-28T22:29:40.000Z""""",,,,,,,,,,,,,,,,
did you say free samples?,"2017-12-28T22:29:13.000Z""""",,,,,,,,,,,,,,,,
Right behind you.pic.twitter.com/aJNtyu3zzN,"2017-12-28T22:24:29.000Z""""",,,,,,,,,,,,,,,,
They stopped by yesterday! Must be time-travelling again...pic.twitter.com/nYXToy1LDL,"2017-12-28T22:19:03.000Z""""",,,,,,,,,,,,,,,,
We're mixing up some Grey Goose Le Fizz today and giving out free samples! pic.twitter.com/1nQa0kBAi8,"2017-12-28T22:18:49.000Z""""",,,,,,,,,,,,,,,,
Cheers from Brazil! # AirportTwitterpic.twitter.com/63AdyLnd2n,"2017-12-28T22:13:21.000Z""""",,,,,,,,,,,,,,,,
@ Schiphol definitely should join # AirportTwitter. We have some nice de-icing pictures too pic.twitter.com/lIVmnKnzrY,"2017-12-28T22:13:17.000Z""""",,,,,,,,,,,,,,,,
Now we're going to have go to the hard stuff with our local @ CedarRidgeIowa beverages offered in the Cedar Ridge Barrel Room at little 'ole CID.pic.twitter.com/CNyQeq0neC,"2017-12-28T22:02:30.000Z""""",,,,,,,,,,,,,,,,
We're proud to carry these three local brews, @ beausallnatural @ dominioncitybc and our newest addition @ StrayDogBeer! # Tastytravelspic.twitter.com/4aFqTucZjS,,,,,,,,,,,,,,,,
We raise you a shark, Landshark that is,,,,,,,,,,,,,,,,
We’ll raise a glass of @ SouthboundBrews to that!pic.twitter.com/VryDrpZmJq,"2017-12-28T21:53:46.000Z""""",,,,,,,,,,,,,,,,
And, we're adding @ FourPeaksBrew to this party. Visit them in our Terminal 4.pic.twitter.com/KP2ApKMTv7,,,,,,,,,,,,,,,,
We doing beer now? Just added @ StanleyParkBrew to the team at YVR!pic.twitter.com/taM5vvfSAk,"2017-12-28T21:48:41.000Z""""",,,,,,,,,,,,,,,,
The more the merrier!pic.twitter.com/II78FuEEtg,"2017-12-28T21:43:47.000Z""""",,,,,,,,,,,,,,,,
Hey @ fly_BUR - Top Gun is ours. pic.twitter.com/lpTGbpbUUq,"2017-12-28T21:38:44.000Z""""",,,,,,,,,,,,,,,,
We may not be a mid-size airport, but we're part of this now whether you guys like it or not.pic.twitter.com/xRNn1UyBpU,,,,,,,,,,,,,,,,
Hey @ flySGF have any de-icing photos to add to this # twitterairport thread?,"2017-12-28T21:26:37.000Z""""",,,,,,,,,,,,,,,,
We have a video too!https://www.youtube.com/watch?v=rWDjGJFoXVg&t=3s …,"2017-12-28T21:05:07.000Z""""",,,,,,,,,,,,,,,,
WE LOVE YOUR SHOW.,"2017-12-28T21:04:28.000Z""""",,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/9aHt3dcxlAe,,,,,,,,,,,,,,,,
How about our own movie!https://www.youtube.com/watch?v=8EbzvCVZOW0 …,"2017-12-28T20:59:25.000Z""""",,,,,,,,,,,,,,,,
We love when our Airport is featured in movies & TV shows -- even in animation!pic.twitter.com/jkmpLGEv3z,"2017-12-28T20:58:52.000Z""""",,,,,,,,,,,,,,,,
How about your own show? # AirportTwitterpic.twitter.com/ycoyz8EbNl,"2017-12-28T20:58:27.000Z""""",,,,,,,,,,,,,,,,
SF is also home to tons of movies... # sfopic.twitter.com/tJK7bEsIox,"2017-12-28T20:55:08.000Z""""",,,,,,,,,,,,,,,,
More airplanes (300,000!) have been built in Wichita than anywhere else on the planet. pic.twitter.com/WZxJdGh7HB,,,,,,,,,,,,,,,,
Loosely translated.....deal with it.pic.twitter.com/ucAbdn7PgB,"2017-12-28T20:45:12.000Z""""",,,,,,,,,,,,,,,,
# SFOJobs- # sfo is looking for 2018 Summer High School Interns: 9910 Public Service Trainee – 2018 High School Summer Internship https://www.jobaps.com/SF/sup/BulPreview.asp?R1=TEX&R2=9910&R3=902482 …,"2017-12-28T20:44:27.000Z""""",,,,,,,,,,,,,,,,
Always a classic! # AirportTwitterpic.twitter.com/pmrw7b83nd,"2017-12-28T20:43:29.000Z""""",,,,,,,,,,,,,,,,
Or the small screen!pic.twitter.com/xaGscNSrBW,"2017-12-28T20:41:04.000Z""""",,,,,,,,,,,,,,,,
When talking about the big screen...There's something about Miami.pic.twitter.com/SywzRQzrB6,"2017-12-28T20:39:22.000Z""""",,,,,,,,,,,,,,,,
Still waiting on @ CorkAirport to stop sleeping and join the party (even after shoutouts from @ fly_SAV & @ iflymia), they’re missing the lolz!pic.twitter.com/H3QDbdwg1Y,,,,,,,,,,,,,,,,
CID is in the house # AirportTwitterpic.twitter.com/As0VOzdQmH,"2017-12-28T20:32:32.000Z""""",,,,,,,,,,,,,,,,
Congrats on your film careers! We’re still the Air Capital of the World. pic.twitter.com/fEw7HDqe40,"2017-12-28T20:29:35.000Z""""",,,,,,,,,,,,,,,,
unfair.,"2017-12-28T20:27:01.000Z""""",,,,,,,,,,,,,,,,
